,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text_without_stopwords
173,174,B0081XN2HQ,A3HUV0ZQPXO3V7,Pink Dandy Chatter,0,0,5,1344902400,"Fluffy, Soft, Delicious and Sugary Sweet",i could n't wait to try the 8 & # 8243 ; cinnamon coffee because it is made with fresh eggs creamy sour cream madagascar bourbon vanilla is topped filled with cinnamon streusel this 8 & # 8243 ; cinnamon coffee is available online for only $ 18.95 now i had fair share of cinnamon coffee cakes but let me just tell you that the fantasicakes cinnamon coffee really takes the with size price quality taste. the arrived very fast was carefully packaged so that it arrived in almost perfect condition it also comes with a large tub of white icing that you drizzle over the top before serving i could n't believe how large the size was it actually fed family of 5 for to enjoy during breakfast for three days the itself is thick almost a solid but sponge type consistency that is really moist very filling the flavors to die for with the sticky cinnamon outside sweet cinnamon vanilla swirled throughout the inside of the the icing really it off beautifully gives it that moist sticky sweet flavor pair the with your morning coffee you 've got the perfect breakfast treat !
174,175,B0025VRCJY,A3PPOTV6659ATF,Jerald,5,6,4,1280793600,Great but not as good as it was back in the day as a teen,i used to love up stopped drinking water lemon juice from this brand about 5-6 years ago this stuff used to be so strong i used to just pour some in mouth get that alive feeling going it feels like the product went changes which added more water or something to it not so strong the stronger it is the less you use as well the product is still really good but the taste is the same quality as the cheaper brand names almost i thought would fast but hey all lemon stuff i love unless it goes bad this is a good product just wish it still had that hit me in the mouth chug sensation it used to be like
175,176,B0025VRCJY,A2VYRRDJN2UKWB,"Dario Quinonez ""aprilkid""",1,1,5,1299974400,EXCELLENT LEMON JUICE,one of the best lemon juice that i i recurring customer due to the high quality of this product when the season for fresh lemos is out this one supplement our need for the citrus on the kitchen or refreshments. i will continue buying it
176,177,B0025VRCJY,A2ACUGNVT36JYX,Lyannah,0,0,5,1325203200,Great Product,this lemon juice is a in kitchen year-round it a powerful flavor you do n't need much of it to zest up a dish i add a spritz of it to water nearly every day. i will buy this product again again
177,178,B0025VRCJY,A3F8JQ5J29GWUV,qv240,0,0,5,1315526400,Handy,fast delivery good product this is the same lemon juice concentrate you find in stores it 's really handy to around to add to sauces dressings such a pain to squeeze fresh juice everytime you need it nevermind the lemons on hand to begin with
178,179,B0025VRCJY,A3L9ZT7SRJYLVH,"JDTexan ""JDTexan""",0,2,4,1293926400,ReaLemon Juice from Amazon.,this is not as good as the frozen lemon juice but it is good it a slightly odd flavor perhaps from a preservative sure wish i could order the frozen juice !
179,180,B005CJVVJ8,A3O8ZE8BHREE0W,Tom Falcon,8,8,4,1314316800,"relaxing, almost like something you smoke",could n't believe it when told how relaxing this beverage was seriously drink it only if you getting ready for a nap or bedtime if you plans to drive or perform any other activity not recommended. i feel arms legs almost tingle with relaxation after a short eyes start to get droopy i in another love this stuff
180,181,B005CJVVJ8,A3BSTFFIKK5YTW,"BOATS99 ""BOATS99""",6,6,4,1327968000,Never paid that much !,i bought at grocery outlet in the seattle tacoma for $ 4.00 a case of tweleve not paying $ 38.00 yes 3 for a dollar i like the taste not great but not bad either low calorie will buy more but not at this whacked out price
181,182,B005CJVVJ8,A3F44FUPG97AA9,Monie,1,1,5,1339545600,Marley's Mellow Mood Lite - Half Tea Half Lemonade,this is an great product the taste is great it works exactly as described superb natural sleep aid amazing !
182,183,B005CJVVJ8,A1AL946PZ24084,Melinda K. Sanders,0,0,3,1334707200,Great product to help you sleep,we looking for natural ways to help sleep we always seem to be overloaded with stress a busy schedule yes we 'd probably be better served a yoga class but this is a good second choice this helps you fall asleep stay asleep i drank half the first night that was plenty for me after about 30 minutes i was ready for bed ! i woke up refreshed with no sleepy-drug hangover so that is a huge bonus. i gave the product 3 stars ( instead of the 5 it deserves ) as their packing job was marginal at best the product arrived with 2 broken bottles which at this price is a $ 6 loss ! the bottles glass all they did was wrap one layer of the small-bubbled bubble wrap around the case placed it in a larger box with extra room to move around in that box big packing fail but the product is awesome
183,184,B001KUUNP6,A262Z0S6PT9U16,Lee Thombley,3,3,5,1292716800,Perfect for gluten-free chocolate chip cookies,we made chocolate chip cookies with brm garbanzo bean the results were fantastic ! the brown sugar chocolate mask any bean taste that other reviews mentioned our friends could n't discern any difference from classic cccs the texture body elasticity ( meaning reduced tendency to fall apart that occurs with most other gluten-free flours ) is nice chewy -- the same as cccs made with regular an added bonus -- the high protein fiber level ( i calculate 2-3 g fiber/cookie ) fills you up so that you satisfied with smaller servings the glycemic index is significantly lower. i highly recommend this even if cccs the only thing you with it
184,185,B001KUUNP6,A317BY3IPZ83MJ,"James G. Colet ""psychocarp""",3,3,5,1235520000,Garbonzo  Bean Flour,this is great stuff made some really tasty banana bread good quality lowest price in town
185,186,B001KUUNP6,A18VJ0WOQAIZYD,Ean Behr,0,0,5,1337299200,yum falafel,we had trouble finding this locally - delivery was fast no more hunting up down the aisle at our local grocery stores
186,187,B000NY8ODS,A1IU7S4HCK1XK0,Joanna Daneman,2,2,5,1333843200,"Make a fresh fruit tart, light and beautiful",this packet of glaze is the secret to those style fresh fruit tarts i about to one for a pie auction at church after a friend requested that something strawberry should be offered you the most amazing relatively healthy fruit tarts by baking a base layering it with uncooked fresh sliced fruit then pouring over the made-up contents of one of packets they harden up at room temperature hold the fruit together so you slice the tart they let the beauty of the arranged fruit show i 've also this glaze used over cheesecakes to hold a fruit topping in personally i do not like cheesecake ( too rich for me ) but a fruit glazed cheesecake is gorgeous i will admit to do this slice fruit layer it on the cheesecake while it 's still in the springform pan pour on the glaze let it set up then remove the springform you 'll a clear layer of fruit on top of the cheesecake cherries strawberries or sliced mangos nice but the best one i ever had used thin slices of lemons that had gently poached in sugar syrup before they were layered on the i use a base of sponge baked in a shallow form but other bases be pate sucre ( a kind of french pastry that is a bit like a sugar cookie ) that works well in those fluted straight-sided forms you also mini-tarts in a muffin pan pre-baking each mold with a layer of pie crust ( even commercial crust works though again i prefer pate sucre it holds its shape better is more substantial a better crumb ) just blind-bake the muffin tins lined with pate then pop out fill with fresh ( berries great ) pour over the glaze some people put a layer of creme patisserie which is a pastry cream like custard but stabilized with below the fruit i happen to think taste best. if you get into baking this glaze is a must-have on the shelf the ingredients vegan : tapioca starch carrageenan dextrose cream of tartar locust bean gum so if you looking to a vegan tofu cheesecake you use this on top as well as use it for fruit tarts with a nut crust base
187,188,B00029XIZI,A2S72TUJDQUBMH,Nadia,0,0,5,1236124800,Miracle,scotties were of hot spots when i used this within a all the hot spots were the smell is kinda strong but not bad it 's tolerablel
188,189,B004V6AH34,ATX44LVZL5JFV,Silvy,1,1,4,1314403200,not bad for instant healthy coffee,i bought this coffee because its much cheaper than the ganocafe the organic reishi mushroom as well as other healthy antioxidants i did n't expect it to taste good but it actually does ! i 've only had it for a few days for $ 5 its totally it sisters all ganocafe but now i 'm introducing to this less expensive similar coffee i will follow up on this product in a few weeks : )
189,190,B004V6AH34,A3AFVGFX175F9N,Gift Card Recipient,0,0,3,1340582400,It's ok,the coffee is very finely processed the flavor is just alright nescafe mount hagen better - i bought this to try something other than two but i probably wo n't get this again there is just a slight vitaminy taste but it 's not overwhelming it 's also a bit pricey for what you get
190,191,B004V6AH34,AXAJ1GHE97YE2,"Jasmin Song ""Jasmin Song""",0,0,5,1339027200,I love it!,this coffee is great because it 's all organic ingredients ! no pesticides to worry about plus it tastes good you the healing effects for ganoderma
191,192,B004V6AH34,A3POAWC2JPQQQP,me,0,0,5,1338249600,great taste and has health benefits!,like the other people mentioned this coffee a great taste i 've different instant coffees before but this one is one of the better ones another one of favorites if you want to try it out ( though not organic ) is 'africafe pure instant coffee '
192,193,B004V6AH34,AJZ2A9UOJK0RB,LK,0,0,5,1336089600,Tastes Great. Arrived in 2 days!,tastes great gives me energy without the jitters love this product. however i do wish it came in some sort of resealable or hard plastic container instead of a zip-lock pouch because the zip-lock ripped off quit working after awhile but the product is fantastic just not about the packaging
193,194,B0028C44Z0,A19NGYCQ1NCF3W,S. Haney,2,2,5,1323820800,Great for after lunch,little tasty refreshing. i usually salads for lunch which do terrible things to breath i 2 of after lunch ( because they so small ) i find this sufficiently resolves the problem. they 're sugar free ( sugar actually help the smelly bacteria grow ) which is great they 're tasty enough that i almost think of as part of lunch. this is a good bulk value buy i 'd highly recommend the themselves cheers !
194,195,B0028C44Z0,A32DDKLY942A84,"PrinterCPE ""damnsilly1""",2,2,4,1284249600,"Nice little mints, but pricey.",i like better than the regular altoids but they 're even more costly so you 'd better like
195,196,B0028C44Z0,A3B6S35IUGOGW4,Rutt10,1,1,5,1300406400,Altoids mini mints tins,little tins of sugar free were a great deal.there perfict for on the go.fifty per tin is just the right amount to cary along.and there safer for your teeth than the ones with sugar.the price of twelve dollars was very resonable.also there great for shareing.if you looking for a mint try ones.youll be glad you did
196,197,B0028C44Z0,AI7O5C9KBVSTF,i&#60;3pnutbutter,3,4,5,1274054400,Altoids Smalls-Wintergreen,pros : +packaging price +sold about a year before its expiration date ( enough for me to eat/share 9 boxes ) +not too fresh like the regular wintergreen not in a powdery form it 's a real mint ! cons : none !
197,198,B0028C44Z0,A4LL4KXLRBQHQ,stillgoinstrong,2,3,3,1278460800,Sugarfree...,be careful not to too of in one day as one of the chemicals in it is the same as that of a laxative ! ! ! lololol ! ! !
198,199,B0028C44Z0,A3U94LRA4I8YAL,"Brenda Woodward ""love to read""",2,3,5,1265932800,Tasty!!,really strong a great taste they also a convenient size to carry in a pocket or purse
199,200,B0028C44Z0,A1WTXY4MW3YDF2,Gordon,0,0,5,1344729600,These mints are awesome!,this is a huge supply of i 'm still working on plenty to spare much more effective than buying one from the grocery store or 7-11 every you want a mint
200,201,B0028C44Z0,A1UF2VN3O50NGW,Lou,0,0,2,1330819200,Altoids Smalls,even with small containers they do n't fill up little tins less than half filled at the price charged it seems a rip-off is there some exotic ingredient as costly as contained in those tiny squares ? or how about the cereal ploy they were filled at the factory but settled in transport. manufacturers be honest in their dealings ?
201,202,B0028C44Z0,A3VAYCK681VZZO,Optimus,0,0,5,1320710400,Love these! And reusable containers,i love use the empty containers for medicine/advil in purse desk suitcase also line with felt to keep earrings perfect little size to disguise small valuables when traveling love the tiny powerful without burning mouth
202,203,B0028C44Z0,A3TIC20I6XI297,dog lover,0,0,5,1320451200,Altoids,received as shown mother in law likes walgreens quit carrying it was great i could get on amazon
203,204,B0028C44Z0,A2Q8F5N7HQXWDW,Bell Girl,0,0,4,1316908800,A huge hit at the office!,i keep a case of in office always at least a tin or two on desk for visitors to help themselves to some folks stop by just to grab some others pop like while we meet when i find someone keeps back for more i just give their own tin ! one co-worker asked me to save the tins for her so she could use as pillboxes safety pin boxes like i said theyre a real hit i would n't be able to keep hands off a dish this is a good alternative to around it 's nice to around if i for lunch ! i gave the item 4 stars because they n't as tasty as the sugar version of the but what sugar free item is as good as it 's sugar counterpart ? ) because of the fact that each tin is wrapped in plastic which seems like a waste is irritating to remove ( although i totally get why they wrap it - it still does n't it easy to deal with )
204,205,B0028C44Z0,A2RMYCQIST622H,Dan,1,2,5,1322438400,"Love 'em, they're great!",the tiny altoids great for a quick breath freshening the small box is great for portability it 's but compact. i n't run out probably wo n't for a couple months but i ca n't wait to buy it again
205,206,B0028C44Z0,A27D5IRAIGLOG5,Texan Gal,1,2,5,1271635200,Love these!,i loved wintergreen altoid smalls so much i had to write a review the packaging is small for convenience the altoids smaller as well with a square shape blue hue even more delicious taste in opinion i definitely prefer over the regular-size altoids will continue purchasing ! highly recommended !
206,207,B0028C44Z0,A5F7YR0G7H9HR,Ma J. Vargas Peña,0,1,5,1315180800,fresh!,fresh scent taste easy to one tin in few hours i use as favors everyone loved
207,208,B0028C44Z0,A2E0MNOYZI00VW,Deborah Laux,1,3,5,1314662400,Wintergreen Me,hard to find the wintergreen smalls [ sugar free ] as stores only the smalls [ peppermint -- such a common flavor ] the wintergreen is refreshing absolutely delicious driving cross country if someone cuts me off i turn to daughter with hand out say wintergreen me ! she pulls one out puts it in hand all is right with the world
208,209,B0028C44Z0,A3BJ9NS09YGQT5,"Atl Chris ""Atl Chris""",0,3,1,1314489600,These just don't do it for me as breath mints,to me nothing like the regular altoids not breath they pleasant-tasting little in a cute convenient tin that 's as far as it goes the mintiness is just not strong the wintergreens definitely weaker than the peppermint minis i 'm not a dragon-breath person but still one of is too small to any effect on breath four or five will freshen breath for a short while - maybe 15 minutes at this point i think the icebreakers frost the best as sugar free breath
209,210,B0009XLVGA,A3S84SEN2Z6DZU,"EJ ""Seayhorse""",2,2,5,1299283200,"better than average, more expensive than average.",we fed our cats a lot of stuff 2 boy cats not picky eaters they loved the purina they loved the nutro they loved the iams they love whatever we feed this review is based on what we their affectionate owners love after a certain age we were instructed by the vet to consider senior foods- lower carb foods because the catties were fatties we a few types of food some evinced no change some made the litter super-stink some had too small a kibble the cats barfed it up because they did n't to chew it to swallow it ... this felidae done the trick no problems to speak of it is consistent in the litter bearable on the nose the cats love it the kibble is sized appropriate to chewing 's the kicker : after feeding the cats felidae their demeanor improved their coats super soft lush- new improvements we directly attribute to this food we 're now loyal felidae consumers. additionally the absence of corn product in the feed seems to lessen or remove the reactions of our friends with cat-allergies
210,211,B0009XLVGA,A2U3Z5S70AE80V,Margaret,2,2,5,1267920000,My cat loves it!,i started cat on felidae platinum about 3 weeks ago she loves it she 's an cat somewhat overweight had a grouchy temperament i first mixed it with her previous food she figured out which was which -- she ate the felidae left the old food ! she 's now on just the felidae for about days now off the old food entirely she is a much sweeter happier cat i think it agree with her better or be more easily digested or something in any case i a happy purchaser of felidae i do n't agree with the previous reviewer that cats do n't like it clearly does
211,212,B0009XLVGA,ATHUN0PJ0MG0P,"R. Cross ""LVWolfman""",1,1,5,1315008000,Great For Fat Cats and Senior Citizens,we three cats the youngest is about eleven years old another is fifteen our oldest is well ancient that is what the vet told years ago the youngest is a blob when he lays down he looks like a footstool the other two arthritic skinny. we had such with canidae platinum for senior i figured that we 'd give it a try for our cats i 'd had on low ash purina one urinary tract formula for their entire lives thankfully we had no ut problems. buster the youngest is still a blob after six months plus on felidae for senior overweight cats however the other two now much more active we tell that they really feeling better we changed their food to felidae even prissy the ancient one started to play tease the by getting to chase her where before when she was on purina one all she wanted to do was to sleep. i think that if you get your cat on this fairly early in their weight problems it 'll be more effective. however the glucosamine will certainly help your fur balls a happier life
212,213,B0009XLVGA,A2LWOW7SO2QPML,JHexatthewheel,0,1,2,1310515200,Nearly killed the cats,too much of a good thing ? we worked this kibble in over slowly shifting the percentage of felidae to national junk-food brand until the bowl was all natural by this the cats could n't keep it in or down what a mess we 've moved on
213,214,B0009XLVGA,A1NHQNQ3TVXTZF,"Desert Girl ""chrissylovesherhusband""",3,10,1,1220227200,CHANGED FORMULA MAKES CATS SICK!!!!,as with canidae felidae also changed their formula cats do not like change when it comes to their food they just had to change it without putting it on their label we noticed the color of the food had changed so did the smell ( as you will notice i also reviewd the canidae this all happened the same the were ) prior to the change in food we had almost lost two of our cats because we had moved to a new home if cats get upset because of a change in enviorment or a loud noise they stop eating it depends on the cat two of had stopped eating had lost a lot of weight we took to the vet it took months to get back to normal it a year then they better then the formula for this food changed. we started to noitce they were not eating as much it started to bug we asked the owner of the feed store she had no knowledge of any change to the food it was n't until the we were in there with other customers yelling about their food their sick right away we changed the cats food they started chowing down n't suffered one bit like our cats sensitve animals changes to thier food could cause to stop eating anyone thinking of purchasing this food should not do it ! we 5 rescued fixed cats none of which picky eaters the change in this formula could the death of had we not found out about the change in their formula. i urge anyone that had problems to to the consumer affairs website also the fda website write a letter to to let know how this affected your animal as with canidae they do not care how the change affected animals tell me not to buy it this is just horrible !
214,215,B002TDK0VK,A3FU8FVBZ8ZODD,D. Anthony,0,1,4,1320796800,Best by the case,do n't buy just a few of ! i order by the case i ca n't even remember the first i tasted an anchovy stuffed olive but i of the brands online this brand is favorite
215,216,B002TDK0VK,A24HJWXL3LHULM,scott Smith,0,1,5,1289865600,Looking for a different flavor?,i order olives a lot they un-like any other olives out there the subtle flavors of the brine great with cheeses one of favorite appetizer treats for guests
216,217,B002TDK0VK,A3GRP8QRFGDH8T,Technically Proficient,1,4,1,1296086400,Price cannot be correct,hey the description says 360 grams - that is roughly 13 ounces at under $ 4.00 per no way - that is the approximate price for a 100 gram
217,218,B0040WAG7Q,A19SDJ2TSSL8HI,K. McGee,0,0,3,1347667200,More Hot/Spicy than McCormick's Brand,husband i kind of wimpy when it comes to hot things this seasoning is just a bit too spicy for it definitely makes you sweat a bit when you 're eating it it was still edible to by adding a good sized dollop of sour cream but i do n't think i would buy it again due to the heat we prefer the milder mccormick 's brand of fajita mix i 've also had fajitas in a couple of different restaurants it was n't as spicy as this mix is. if you like super spicy then this is not burning hot so you might want to keep that in mind to me it was more than medium hot but not by too much. i gave it three stars because it was pretty easy to it 's versatile in that you could vary the veggies you put in it you a plastic bag a couple of tbs of vegetable 1/4 cup water mix the seasoning water together then add the chicken strips to the bag let it marinate for 5 minutes in the meantime it says to stir fry your veggies ( peppers onion ) but i found it easier to just cook the chicken veggies together i do n't think it affected quality or taste i also used extra virgin olive rather than vegetable i one more package of this to use next i 'm going to add more veggies maybe some chopped to cut the heat a bit more
218,219,B001EO5ZMO,AW497M5SEXAPQ,Neal Pollack,5,5,5,1266105600,Ahmad Loose Imperial Blend Tea is great for the price,a friend 'd drinking tea for 80 of his 84 years introduced me to this tea a few months ago even took me over to the store bought me a pound at $ 7/lb in a store or a little over $ 9 with from an online merchant i think it 's great i 've drinking earl grey english breakfast irish breakfast lapsang souchong assam most of were over $ 30/lb with aside from the lapsang souchong i think this is a great replacement for all the rest everything i 'm looking for in a strong full-bodied black tea with enough character to keep it from becoming boring current favorite afternoon tea unless you 're extremely jaded or a tea snob you 'll love it
219,220,B001EO5ZMO,A3KQ1480MHXXCW,M'ville,3,3,5,1272412800,Nice tea,i love strong bodied quality tea typically drink assam irish breakfast or early grey tea but as the other reviewer noted the price per pound be discouraging so i searching for a quality bodied tea that was n't bitter at a more palatable price point this certainly fits the bill unlike some other teas where they tend to be better in one form or another i.e iced vs. hot this tea is excellent in forms i would certainly recommend this to anyone prefers that smooth bodied quality tea that does n't cost an arm leg
220,221,B001EO5ZMO,A8D27L5Q5BLRC,K. Kwan,0,0,5,1350864000,A fragrant tea,i drink this tea plain ( without sugar or milk ) it a pleasant aroma. the price from amazon is cheaper than local grocery store one reviewer is right i think it some herbal smell to up the aroma so the label imperial blend kind of implied the herb. i not exactly a black tea drinker so this tea is a surprise affordable too i usually prefer white chinese tea like white peony but it is more expensive requires lower temperature water but this is black tea this aroma kind of remind me the 'softness ' of white tea
221,222,B001EO5ZMO,A1C5SHU81SRARN,Sophia T,0,0,5,1310688000,Best Ahmad Tea,i 've a variety of ahmad tea not because i particularly like this brand but they just easier to across the imperial blend i believe is the most complex well balanced of all the ones i 've it 's body like a good cup of assam which by no means overpower the delightful clean taste of darjeerling complete with a long lasting note of bergamot i enjoy it best in the evening it gives a satisfying relaxing finish to a busy day. for those interested in the specifics : i use about 3 teaspoons of lose tea in a stainless steel infuser in a 16 oz mug let it steep in 208f water for 2-3 min the infuser out drink it without sugar or milk to savor its sophistication
222,223,B001EO5ZMO,A3JP1UJAF8YY0F,Irish Stu,0,0,5,1308009600,My favorite tea,i literally dozens of teas being introduced to the russian custom of preparing drinking tea the ahmad imperial blend is probably favorite of all of due to the fact that it is equally delicious hot or iced i buy the three-packs as needed from amazon rapidly family loves it friends it in their homes now too try one box of it you will love it too
223,224,B001EO5ZMO,A8XEEORIXJNZL,Joseph Emmanuel,0,1,5,1330819200,Best tea ever!,this is an excellent tea one of the best i ever had it is especially great when you prepare it with a samovar
224,225,B001EO5ZMO,A3A4GAPXRX5SHM,markiz,1,3,2,1282435200,Not a real tea,herbal in this blend destroy real tea taste it is only for people like herbal taste i do n't
225,226,B001SATU8E,A1CR1DS15Z7XO1,Tiff D,0,0,4,1264377600,DELICIOUS,makes a tasty super easy meal fast but high in calories. the instructions say to saute the veggies first but i recommend cooking the chicken first the chicken takes to cook the chicken ontop of veggies just makes a slimy mess i made it with snow peas carrots only i dont like the little corn added some pepper flakes for heat served ontop of it came out wonderful ! dinner on the table in less than 30mins
226,227,B007JFV6RK,A2WQBT7RS1HSSU,"Wade Jackman ""wpjackman""",1,1,5,1346025600,Best Bloody Mary mixer,i think i just about every bloody mary mixer on the market at one or the other most too much sugar or worst corn syrup this mixer is all natural ingredients very tasty it does a little kick enjoy
227,228,B007JFV6RK,A3LCMQ815MBJW9,Patty,1,1,5,1338163200,The Best,might be a little spicy for some but this stuff rocks i use 1/2 and1/2 with v8 for a milder version or the best is a bloody caesar ! half mix half clamato !
228,229,B007JFV6RK,A2UC5JUVHIF80L,Abendago,1,1,5,1334016000,Mcclures bloody Mary mix,took me one or two to get used to the pickle taste but now aim hooked to keep a bottle on hand
229,230,B001L4ELRW,A1AK335P17JXL0,Victoria Brown,0,0,1,1345593600,Not Good,this is not as described the middle is almost hard it is not a silky or smooth filling as described. looks tastes like it 's way past it 's expiration date. would never reccommend this paid a good chunk of cash for nothing
230,231,B003SO503C,A2ODZ3CH8PMYTL,Nanette,0,0,5,1347235200,Love this tea!,i started drinking the power slim tea when i was on the hcg diet to help curb cravings i liked it so well i some of the others i now hooked ! they so satisfying that i drink all the the energy gives you that extra pick-me-up in the afternoons that helps keep me going all day no matter how long
231,232,B003SO503C,A3OXRFCJI67IMN,Bold Consumer,0,0,5,1333843200,Really Nice Taste!,i 'm trying of the wu yi teas i like this one particularly because of the subtle citrus taste it also a natural sweetness. the ingredients include organic wu-li cliff oolong tea ( 700 mg ) organic black tea ( 600 mg ) organic green tea extract ( 100 mg ) proprietary blend ( 600 mg ) plus some ginseng ( panax ) orange peel lemon grass guarana other ingredients : natual orange citrus flavors. goal is to drink more tea less coffee i enjoying trying a different kind of tea every day i 'll be back to this one
232,233,B003ZFXJDW,A2HL6876LDPJIM,flageolet,0,0,5,1343692800,just give me some watermelon and citron sea salt,i not live without this citron falksalt it is wonderful on watermelon almost any food requiring in world it all does just try it on juicy watermelon wonderful experience
233,234,B003ZFXJDW,A2KPPGFMPD20M6,Linda Albert,0,0,1,1343692800,Furniture Polish Taste,terrible ! artificial lemon taste like pledge lemon furniture polish do n't do this to yourself just use plain flake some fresh grated lemon zest
234,235,B003ZFXJDW,AJ94Y22SUFCGU,Gwenhwyfar,0,1,5,1303257600,Big tub o' salt,things huge ! i love the way the crystals crunch the flavor is not too overpowering or too subtle this lemony flavor is favorite -- it 's good on almost everything you 'll plenty of flavored for a long if you buy this
235,236,B001HTL6CY,A1KLA02LZXAT46,Dandelion,0,0,2,1302307200,"Taste is neutral, quantity is DECEITFUL!",the taste of white cheddar flat breads is like a regular cracker - which is not bad except that i bought because i wanted a cheese taste. what was a huge disappointment ? how misleading the packaging of the box is the photo on the box ( i bought in store ) makes it look like it is of long flatbreads ( expanding the length width of the box ) wrong ! the plastic tray that holds the crackers is about 2 smaller all around - leaving you with about 15 or so small flatbreads. what is also bad about this is that the company states they use biodegradable eco-friendly packaging fail ! they used a huge box for a ridiculously small amount of crackers not ecofriendly at all. would i buy again ? no - i feel ripped off the other crackers ( like sesame tarragon ) give you a little more bang for your buck more flavor
236,237,B000WFRMRW,A2GN6W82DZNUN8,jackman,0,0,5,1341878400,Eukanuba puppy small breed dog food,this is the ultimate puppy food the kibbles great for small breeds high in digestible nutrients as opposed to fillers some companies use less waste results from the high quality ingredients i hunting training showing handling breeds of for nearly 40 years with multiple national champions i highly satisfied with eukanuba 's quality the results i obtained feeding their foods recent purchases with wag amazon.com their prices the best i found they very good at immediately on items in stock
237,238,B000WFRMRW,A3Q7QBDSAZ670I,B. Barnett,0,0,4,1331251200,High Quality... But it gave my dog wicked gas..,the recommendation when we bought our puppies ( lhasa/bichon mix lhasa/poodle mix ) was that we continue on the food that they had being weaned this is a somewhat expensive food so i ca n't say that we were terribly pleased but we up on the stuff headed home. let me just say this i had small before never i such gas of consistently had foul gas consistently usually when they 're sitting on our laps but you know they 're when we got the first bag of this stuff we purchased more on amazon it was a great price for it we got a 40 bag for the price of ( i think ) a 15 bag at petco but they continued to gas i mean they loved the food do n't get me wrong they loved it more when we 'd mix in some water it would be like soft food somehow that made their gas worse but i think i 'll to give that responsible to the speed with which they chowed down- ca n't blame the food itself for gluttony. eventually we switched their food no more farting i think it was due to the high fat content which undoubtedly is necessary for very small puppies they just need that in their diet i think that we were advised to keep on it for much than was useful ( they said up until 1 year ) right you try dealing with gas for that long around 6 mos of age we switched to puppychow much better granted they do n't like it as much but we humans like it a lot better
238,239,B001EO5ZME,AF72GTWZGAC61,Pinkhat,0,0,5,1330387200,Great tasting green tea and such a great deal.,a very delicate green tea with a smooth light taste an subtle floral tones no bitter aftertaste. in the 20+ years we drinking ahmad teas not even once we disappointed the superb quality of ahmad teas remained consistent throughout the years. i so happy to find ahmad teas available ( thanks amazon ! ) because only a few stores carry it in area they quite a few miles away the current deal for the pack of 6 is superb ( much cheaper than i find locally ) this is a great tasting tea which i happy to recommend
239,240,B0093NIWVO,A1JT114SOITFFO,Dan & Eileen,0,0,5,1350691200,OMG best chocolate jelly belly,fresh a great way to get a little chocolate in life without a million calories they taste just like chocolate pudding
240,241,B001EO5ZMY,AF72GTWZGAC61,Pinkhat,3,3,5,1330732800,Excellent loose tea.,if you like the ceylon tea variety you will certainly enjoy appreciate this tea. i so happy to find ahmad teas available ( thanks amazon ! ) very surprised at the negative review from 2009 because in the 20+ years we drinking ahmad teas not even once we disappointed the superb quality of ahmad teas remained consistent throughout the years. the current deal for the pack of 4 is very good ( cheaper than i find locally ) highly recommended. note : this listing 's description is confusing each packet of tea weighs 500 grams which equals 1.1 pounds or 17.6 ounces
241,242,B001EO5ZMY,AOSK1PLKNT64,Mrclouky,1,1,5,1323820800,Good anytime hot tea,i 've enjoying this tea for years this tea is good mornings afternoons or evenings local store went out of buisiness .... thanks amazon ! i use a bodum tea press to prepare a pot
242,243,B001EO5ZMY,A1DAHZRJTX5X1Z,Erfan,1,1,5,1302739200,My everyday cup of Tea,hi i to black tea everyday i done it in the past 25 years it 's a habit of ahmad tea is one of favorite brands i highly recommend it if you like black tea i think this is going to remain favorite for the next 100 years or so : )
243,244,B001EO5ZMY,A7WE8ZWEJG34E,Kapitoshka,2,3,4,1272499200,This is what you get in the store,i it out despite the other review i found that this is exactly the same tea i buy in either russian or italian groceries
244,245,B001EO5ZMY,A1W4LZ4VZDF29Y,"Guy S. Painter ""gspainter""",0,0,4,1275091200,Ahmad Tea,ahmad tea is an excellent looseleaf tea eith hot or for iced tea great flavor with no lingering aftertaste
245,246,B001EO5ZMY,A3E81HFGNME65J,suave,1,9,2,1245456000,Disappointed,i 've drinking this tea for the past 8 or 10 years usually buying a box or two when visiting large metropolitan areas where middle-eastern stores carry loose ahmad teas usually at $ 5-7 for a pound box i 've always considered it an unremarkable but robust tea with enough aroma taste beautiful reddish color perhaps not good enough a tea to drink on its own but a decent base for mixes. this tea however is nothing of the sort freshly opened package almost no characteristic tea smell the brewed tea is weak flat tasteless somehow it just does not seem to be the same product anymore so you get a lot of tea for the money but the quality is such that you might as well drink lipton bags they not that much worse
246,247,B007TFONH0,AMRNVZKWF6519,confettissimo,1,1,5,1338508800,Wonderful!,i love love love this deal - it 's way fun to pick from so ! teas chocolates ciders as well as coffees the other outfits that assemble samplers boring - they do the choosing from a much narrower range the sellers very nice also will answer questions via email about the slightly confusing ordering method ( it 's easy ) if you want great packaging forget it - they ship fast the kups just tossed loose in a box cares ?
247,248,B007TFONH0,A10IFYN5U6X20R,onemagoo,0,0,5,1350172800,Best way to buy kcups,once you 've some random sampler packs ( now overloaded with decafs extra bolds or teas ) this is a great way to get exactly the brands or style that you want received the order in a couple of days was exactly what i ordered this was second order i 'll be ordering this item again
